L100, D100
-0.00625982, 4.32837e-05
-0.00625049, -0.000102917
-0.00622492, -0.000370837
-0.00619217, -0.000639591
-0.00617218, -0.000924907
-0.0061691, -0.00119731
-0.00605715, -0.00137814
-0.00583723, -0.00167001
-0.00576674, -0.00195596
-0.00579652, -0.00201527
-0.00553305, -0.00243236
-0.00545417, -0.00259686
-0.00537844, -0.00241311
-0.00523364, -0.00279965
-0.00514691, -0.00313377
-0.00499428, -0.00292312
-0.00479923, -0.00308153
-0.00465855, -0.00321204
-0.00439819, -0.00308505
-0.00411274, -0.00344733
-0.00395306, -0.00380167
-0.00374622, -0.00365027
-0.003411, -0.00366545
-0.00327752, -0.00365347
-0.00303441, -0.00376502
-0.00303634, -0.00378245
-0.00287261, -0.00397387
-0.00267688, -0.00372571
-0.00231091, -0.00363966
-0.00215579, -0.00374463
-0.0020382, -0.00368783
-0.00192211, -0.00359899
-0.0016712, -0.00372994
-0.00163326, -0.00355679
-0.00139188, -0.00340903
-0.00120654, -0.00341423
-0.00124183, -0.0032668
-0.00117306, -0.00315179
-0.000891974, -0.00294488
-0.000695955, -0.00272678
-0.000645629, -0.00253948
-0.000517604, -0.00232104
-0.000355818, -0.00203658
-0.000234808, -0.00174159
-0.000166222, -0.00145651
-0.000139712, -0.00116572
-0.000124397, -0.00102426
-0.000112119, -0.00087977
-8.06374e-05, -0.000576175
-8.57362e-05, -0.000284062
-0.000152781, 4.28066e-06
-0.000272769, 0.000287238
-0.000375126, 0.000563774
-0.000372701, 0.000871429
-0.000511976, 0.00115958
-0.000827197, 0.00136734
-0.000874535, 0.00164177
-0.000799809, 0.00187444
-0.0010801, 0.00189788
-0.00131648, 0.00215198
-0.00126664, 0.00242705
-0.00164444, 0.00234313
-0.00179997, 0.00254265
-0.00189367, 0.00268588
-0.00217171, 0.00263701
-0.00258253, 0.00287368
-0.00274959, 0.00321879
-0.00303812, 0.00306524
-0.00309569, 0.00313592
-0.00343038, 0.00310159
-0.00359699, 0.00323402
-0.00397412, 0.00328786
-0.00415553, 0.00354457
-0.00442404, 0.00322786
-0.00484352, 0.00298433
-0.0051196, 0.00323533
-0.00532151, 0.00309784
-0.00559033, 0.00298424
-0.00575263, 0.00328874
-0.00595547, 0.00288421
-0.00623729, 0.00252573
-0.00633529, 0.00277804
-0.00650322, 0.00256254
-0.00692462, 0.00212809
-0.00696606, 0.00210145
-0.00715177, 0.0018056
-0.00749642, 0.00149443
-0.00769447, 0.00128812
-0.0077522, 0.000992631
-0.00781575, 0.000682855
-0.00788245, 0.000400454
-0.00792866, 9.37294e-05
-0.00794735, -0.000220512
-0.00794123, -0.000516413
-0.00791433, -0.000805534
-0.00788976, -0.00113051
-0.0078705, -0.00144652
-0.00770233, -0.00166402
-0.00738327, -0.0019793
-0.00722549, -0.00229161
-0.00720275, -0.0023398
-0.00679652, -0.00277502
-0.00664654, -0.00297901
-0.00654518, -0.00273991
-0.00627778, -0.00311386
-0.00609493, -0.00351565
-0.00591654, -0.00323182
-0.00565237, -0.00334422
-0.00545507, -0.00348565
-0.00516387, -0.00323661
-0.00474286, -0.00348605
-0.00448702, -0.00379396
-0.00428375, -0.0035364
-0.00389583, -0.00345798
-0.0037147, -0.00332534
-0.00336981, -0.00334575
-0.00330417, -0.00327325
-0.00301032, -0.00341421
-0.0028182, -0.00305043
-0.0023686, -0.00278245
-0.00207756, -0.00282071
-0.00196969, -0.00266292
-0.00180126, -0.00244375
-0.00140298, -0.00252118
-0.00145141, -0.00222604
-0.00119505, -0.00194743
-0.000893784, -0.00191796
-0.000978715, -0.00166408
-0.000937124, -0.00136094
-0.000595648, -0.00113635
-0.000449194, -0.000819325
-0.000469124, -0.000475931
-0.000369181, -0.000171291
-0.000242549, 0.000137217
-0.000172659, 0.000447608
-0.00017167, 0.000766054
-0.000213291, 0.00107771
-0.000238535, 0.00137757
-0.000268662, 0.00167837
-0.000337772, 0.00197757
-0.000467568, 0.00227964
-0.00063675, 0.00256862
-0.000762974, 0.00278021
-0.000797216, 0.00296047
-0.00100597, 0.00317139
-0.00130343, 0.00337574
-0.00136163, 0.00348001
-0.00132445, 0.00362568
-0.00151424, 0.00361645
-0.00176188, 0.00376412
-0.00180948, 0.00393798
-0.00205663, 0.00380922
-0.00217206, 0.00390558
-0.00229977, 0.00396577
-0.00244932, 0.00386524
-0.00283941, 0.00395814
-0.00306227, 0.00420735
-0.00322082, 0.00401667
-0.00322606, 0.00398732
-0.00347047, 0.00387771
-0.00361566, 0.00387876
-0.00395214, 0.00387651
-0.00417683, 0.00401996
-0.0043148, 0.00366871
-0.00459513, 0.00329211
-0.00486846, 0.00340869
-0.00500521, 0.00327143
-0.00519356, 0.00311051
-0.00536633, 0.00329049
-0.00543898, 0.00295921
-0.00557634, 0.00255414
-0.00566093, 0.00271287
-0.00572746, 0.00255581
-0.00597881, 0.00213781
-0.00593787, 0.00205286
-0.00599159, 0.00175879
-0.00619224, 0.00147762
-0.00628575, 0.00129538
-0.00626731, 0.0010162
-0.00626272, 0.000726361
-0.00626847, 0.000456418
-0.00626492, 0.000189396
Totals = 
-0.655258, 0.00209818
