L100, D100
0.00188325, -1.64289e-07
0.0018812, 6.12197e-05
0.0018686, 0.000170994
0.00184276, 0.000276434
0.00181328, 0.000380572
0.00177264, 0.00049065
0.0016757, 0.000580439
0.00156034, 0.000636713
0.00145963, 0.000716278
0.00132976, 0.00082401
0.00121793, 0.00083112
0.00120954, 0.000758851
0.00104578, 0.000865111
0.000935135, 0.000887999
0.000973357, 0.000772047
0.000720905, 0.000942736
0.000646886, 0.000860797
0.000612248, 0.00081398
0.000398418, 0.000867195
0.000271573, 0.000787092
0.000365648, 0.00053674
0.000129149, 0.000647656
0.000167695, 0.000457719
-2.14072e-05, 0.00053423
3.46993e-05, 0.000389842
-0.000216569, 0.000482504
-0.000113001, 0.000288805
-0.000550175, 0.000468479
-0.000887827, 0.00045553
-0.000897333, 0.000306706
-0.00102941, 0.000336374
-0.00122222, 0.000381042
-0.000907268, 0.000178556
-0.00110219, 0.000304467
-0.00103705, 0.000316416
-0.000728638, 0.000176618
-0.000847128, 0.000232056
-0.000952162, 0.000251251
-0.000745554, 0.000102264
-0.000737533, 2.55256e-07
-0.000909131, -8.96523e-05
-0.000950391, -0.000234403
-0.000925148, -0.00038096
-0.00088759, -0.000524033
-0.000866419, -0.000666822
-0.000867934, -0.000817622
-0.000855075, -0.000890496
-0.000832166, -0.000961473
-0.000763799, -0.00110445
-0.000710978, -0.00124512
-0.000679765, -0.0014041
-0.000646735, -0.00157249
-0.000564582, -0.00169715
-0.000312779, -0.00174176
-0.000203488, -0.00186087
-0.000293073, -0.00208262
3.75689e-05, -0.00206383
0.000269921, -0.0020222
7.17524e-05, -0.00217887
0.000323558, -0.0022301
0.000657132, -0.00214811
0.000416342, -0.00230777
0.000653243, -0.00228288
0.000774429, -0.00225297
0.000701321, -0.00233055
0.000987886, -0.00232041
0.00137585, -0.0022101
0.00125191, -0.00228768
0.00142994, -0.00215373
0.00140377, -0.00220862
0.00157712, -0.00209989
0.001605, -0.00219798
0.00185591, -0.00208469
0.0017416, -0.00212145
0.00183554, -0.00198981
0.00204621, -0.00189517
0.00205944, -0.00187679
0.00209505, -0.00184423
0.00231377, -0.00169164
0.00221705, -0.00170024
0.00222465, -0.00151768
0.00232692, -0.00142521
0.00227237, -0.00144461
0.00229236, -0.00129457
0.0022659, -0.00114073
0.00222433, -0.000988979
0.00221875, -0.000851336
0.00219385, -0.000721597
0.00212472, -0.000556159
0.00207625, -0.000387279
0.00205301, -0.000234891
0.0020396, -7.69482e-05
0.00203962, 8.28556e-05
0.00205269, 0.000235194
0.00207545, 0.000387962
0.00212277, 0.000556183
0.00218946, 0.000721732
0.00220957, 0.000850403
0.00220607, 0.000982565
0.00223125, 0.00112261
0.00223178, 0.00124877
0.00217826, 0.00134638
0.00220924, 0.0012988
0.00207842, 0.00133693
0.00201331, 0.00140566
0.00207136, 0.00135027
0.00182834, 0.00143537
0.00174081, 0.00140917
0.00169508, 0.00141702
0.00146444, 0.00150368
0.00131991, 0.00164075
0.00137822, 0.00161804
0.0011335, 0.00172586
0.00108953, 0.00164154
0.000916538, 0.00172522
0.000930354, 0.00166001
0.000751415, 0.00175651
0.000857662, 0.00166409
0.000513732, 0.00176275
0.000278423, 0.0017646
0.000345066, 0.00167399
0.000243792, 0.0017032
3.15538e-05, 0.00173142
0.000262741, 0.00157294
-3.69775e-05, 0.00167051
-0.000239512, 0.00165028
-4.5285e-05, 0.00151158
-0.000264252, 0.00157624
-0.000554343, 0.00162751
-0.000441541, 0.00146024
-0.000517993, 0.00139877
-0.000750559, 0.00140238
-0.000819172, 0.00133121
-0.000827439, 0.00121985
-0.000835826, 0.00111252
-0.000875672, 0.00101682
-0.000938597, 0.000923666
-0.000963797, 0.000820728
-0.000963474, 0.000709811
-0.000984531, 0.000599817
-0.00103168, 0.000490903
-0.0010685, 0.000376885
-0.0010327, 0.000261336
-0.00086322, 0.000195823
-0.000889371, 0.000122671
-0.0011199, 3.08079e-06
-0.00103045, 4.2932e-05
-0.000915614, 0.000114895
-0.00123375, -1.3456e-05
-0.00132772, 2.33196e-05
-0.00114935, 0.000163897
-0.00147132, -3.497e-05
-0.00129016, 2.39983e-05
-0.00117158, 5.99794e-05
-0.00116246, -9.02641e-05
-0.000859943, -0.000101405
-0.000454623, 8.09294e-05
-0.000555336, -0.000120843
-0.000307773, -4.60044e-05
-0.000367898, -0.000194986
-0.000189781, -0.000133286
-0.000236471, -0.000316115
-1.99171e-05, -0.000216028
-9.26412e-05, -0.000477172
4.41088e-05, -0.000583545
0.000247965, -0.000531147
0.000292432, -0.000571041
0.000379319, -0.000636852
0.000621471, -0.000464034
0.000606846, -0.00056884
0.000746317, -0.000562573
0.000922986, -0.00046963
0.000958798, -0.000554055
0.00111637, -0.000610688
0.00129888, -0.000568827
0.00145141, -0.000547195
0.00160719, -0.000535762
0.00173282, -0.000470187
0.00179264, -0.000372909
0.00183311, -0.000274712
0.00186456, -0.000171046
0.00188008, -6.1527e-05
Totals = 
0.0947521, -0.00501621
