L100, D100
-0.000308605, 0.000211071
-0.000761922, -0.000141709
4.79156e-05, -0.000269297
-0.000415487, -2.06079e-06
-0.000966615, -0.000268511
-0.000154053, -4.81915e-05
6.72124e-05, -4.73986e-05
-0.000160671, 0.000143126
-0.000753163, 0.000460849
-0.000937975, 0.000283681
-0.000271534, -0.000123852
-0.000174829, -1.93069e-05
-0.00104866, -0.000279225
-0.000673842, 0.000286477
0.000500935, -0.000541401
0.000237397, 0.000368528
-0.000316663, 9.56389e-06
-0.00104761, 0.000208519
-0.000247822, -0.000215387
-0.000132365, -3.38206e-05
5.45854e-05, -0.00030866
9.1317e-06, 0.000278615
-0.000233702, 9.0398e-05
-0.00114532, 3.30902e-05
-6.33258e-05, 0.000126143
-0.000593455, 0.000347461
-0.000121316, -5.75797e-05
-0.000419991, -2.96326e-05
-5.36056e-05, 3.02562e-05
-0.000195744, -4.96705e-05
-0.000208499, 6.12603e-07
-0.000290297, 6.5068e-06
-0.00059965, -0.00037605
3.28797e-05, -0.000243602
0.000295059, 0.000329814
-4.91845e-05, 0.000329894
-0.000305791, -0.000236706
-0.000590113, -8.45053e-05
-0.000266378, 0.000235424
-0.000450071, 0.000143379
-0.000238163, -4.05201e-05
2.14345e-05, 0.000263613
-5.42766e-05, 0.000156226
-0.000277264, 2.71837e-05
-0.000320893, -0.000227324
-0.000151714, -5.1817e-05
-8.91792e-05, 0.000338935
2.65959e-05, -0.00036878
-0.000694966, -3.93875e-05
-3.61742e-06, -0.000123569
4.96057e-05, -0.000164366
-0.000186071, -9.80737e-06
-0.000162501, 0.000177666
-0.000166268, 0.000188622
-6.54187e-05, -1.92621e-05
-0.00020313, 0.000147221
-0.000895005, 0.000299265
-7.41622e-06, -4.77073e-05
-0.000208357, -9.23494e-05
5.80001e-05, -0.000341618
-0.00104331, -0.000145858
-1.94018e-05, 0.000136373
-0.000343995, 4.24092e-05
0.0001555, -0.000179913
-7.9582e-05, 2.45577e-05
-0.000271813, 0.000238833
-0.000134338, 9.71635e-05
-0.000228387, 0.000190339
7.51195e-05, -0.000256616
-6.87027e-05, -4.08078e-05
-0.00101413, 0.000118843
-0.000145357, -3.09607e-05
-1.60095e-05, -0.000310611
-0.000929091, -0.000301865
0.00045197, 5.56112e-05
3.7307e-05, 1.58997e-05
-0.000953485, -0.000232696
-0.000223251, 0.00040621
-2.71454e-05, -1.07468e-05
-0.000822587, -0.000612739
-0.000295919, -0.000312928
-0.000264915, 5.03047e-06
-0.000140654, 2.92587e-05
0.000577823, -0.000589986
-0.00101983, -1.01415e-06
-0.000515839, 0.000317688
-3.60191e-05, -0.000129442
-0.000124875, 0.000245809
-0.000662664, 5.5647e-06
-1.98777e-06, -5.29294e-06
-0.000226685, -1.28734e-05
0.000115642, 0.000143884
-9.1645e-05, 6.24457e-05
-0.000146319, -0.0001327
-0.00014792, -9.70828e-05
-8.87425e-06, -6.29931e-05
-0.000923952, 0.000380143
-0.000344615, -0.000201093
-0.000862879, 0.00017284
-0.000125049, 8.30562e-06
-7.47678e-05, 0.000286208
-0.000335541, -7.98508e-05
-2.10607e-05, 0.000156773
-7.95301e-05, -1.43625e-05
-0.000388702, -9.65448e-07
6.68663e-05, -0.000376095
-0.000287489, -0.000138769
-0.00093319, 0.000387503
-9.8806e-05, -6.18787e-05
4.83001e-07, -8.70169e-05
-0.000422077, -4.01387e-05
-0.000185955, -2.28315e-05
-0.000338138, -0.000152119
-0.000375429, 0.000120955
-0.000402951, -9.08731e-05
-1.68205e-05, 0.000218689
5.03562e-05, 0.000309725
-0.000481024, -9.4682e-05
-0.000285776, 0.000143622
4.09564e-06, 0.000233834
-0.00033318, -7.40518e-05
-0.000130008, -0.000102708
-5.61359e-05, -3.69429e-05
-0.0009725, -0.000219686
