L100, D100
-0.000304053, -3.74799e-05
0.000189871, 0.000222463
-0.00037134, -5.28736e-05
0.00265929, -0.00351706
0.000409285, 8.2815e-05
-0.00027214, 0.00032024
-0.000180832, 0.00013592
-0.000391996, -0.000133307
-6.65653e-05, 6.88241e-05
-0.000563394, 6.09872e-05
-0.00020483, -0.000128123
-0.000480998, -4.37211e-05
-0.00174347, -0.000169516
-0.000347782, -1.33134e-05
-0.00024359, -0.000193424
-0.00070066, 0.000464226
0.000126748, 0.000452052
-0.000545738, 0.000203846
-0.00038567, -7.61212e-05
5.34947e-05, -0.00141819
-0.00104301, 0.000189553
-0.000352024, -0.000539326
0.000591836, -0.000195908
-9.22671e-05, -6.73733e-05
-0.0107617, 0.0012475
0.000133397, 0.000363882
-0.00044248, 0.000225297
-0.000239593, 0.000268687
-0.000284824, -0.000497885
-0.00022754, -0.000130221
-0.000390536, 0.000413925
-0.000403591, -0.000244278
-0.000103478, 7.47135e-05
-0.000304343, -0.00015817
0.000871513, -0.00266067
-0.000211789, -0.000255998
-0.000308008, -8.04883e-05
-0.000662452, 0.000406924
-8.77971e-05, -3.81777e-05
-0.000229294, -0.000213872
-9.84649e-05, 0.000257982
0.000249899, 0.000157426
-0.000362118, 1.95583e-06
-0.000299649, 0.000109453
1.42236e-05, 2.28634e-05
0.000567762, 9.79478e-05
0.00952036, -0.0023606
-0.000232807, -8.18936e-05
0.000314152, -2.54791e-06
0.000777896, -0.000351195
-0.000394034, -0.000203511
0.00330486, -0.0109168
3.45552e-05, 0.000231384
-0.000723968, 0.000127129
-0.00137942, -0.00111747
-0.000407486, -0.00030275
-8.13199e-05, -0.000270439
-0.000247306, -0.000242973
-0.000205136, -0.000250143
-8.99923e-05, -0.00035474
-7.39752e-05, 0.000106938
-0.000177217, 0.00221828
-0.000552774, -5.87428e-05
-0.000231477, 0.000381285
-0.000164048, -0.000150924
-0.000364412, -0.000236757
0.00590501, -0.000804178
-0.00148112, 0.000583195
-0.000259943, -0.000121369
-0.000742731, -0.000246462
-0.000322307, 2.55945e-05
-0.00419272, 0.00619715
-0.000285259, -2.07298e-05
